City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
571,Jedburgh,GB,55.48,-2.552,47.91,79,97,3.94,overcast clouds,2022-03-13 22:49:19
572,Rincon De La Victoria,ES,36.7172,-4.2758,59.85,88,100,4.12,overcast clouds,2022-03-13 22:49:19
573,Tanete,ID,-3.9443,119.7848,76.35,92,67,1.25,broken clouds,2022-03-13 22:49:20
574,Luangwa,ZM,-15.6167,30.4167,69.98,93,55,2.21,broken clouds,2022-03-13 22:49:20
575,Gambela,ET,8.25,34.5833,83.12,50,69,10.58,light rain,2022-03-13 22:49:20
576,Plettenberg Bay,ZA,-34.0527,23.3716,60.75,87,100,14.58,light rain,2022-03-13 22:49:20
577,Totness,SR,5.8833,-56.3167,76.57,89,78,10.67,broken clouds,2022-03-13 22:49:21
578,Roanoke Rapids,US,36.4615,-77.6542,47.34,49,0,11.5,clear sky,2022-03-13 22:49:21
579,Begichevskiy,RU,53.7961,38.255,26.06,95,96,13.22,light snow,2022-03-13 22:49:21
580,Wilmington,US,34.2257,-77.9447,44.85,50,0,3.0,clear sky,2022-03-13 22:44:37
581,Kongsberg,NO,59.6652,9.6465,30.97,95,100,2.39,overcast clouds,2022-03-13 22:49:22
582,Cumberland,US,35.0502,-78.8664,50.5,27,0,14.97,clear sky,2022-03-13 22:49:22
583,Atambua,ID,-9.1061,124.8925,76.41,87,96,2.64,overcast clouds,2022-03-13 22:49:22
584,Qujing,CN,25.4833,103.7833,50.92,42,5,0.76,clear sky,2022-03-13 22:49:22
585,Port-Gentil,GA,-0.7193,8.7815,81.95,77,100,10.67,overcast clouds,2022-03-13 22:49:23
586,Boende,CD,-0.2167,20.8667,72.79,86,97,1.59,overcast clouds,2022-03-13 22:49:23
587,Banepa,NP,27.6298,85.5214,55.72,77,20,3.44,few clouds,2022-03-13 22:49:23
588,Kovur,IN,14.4833,79.9833,71.13,74,83,2.33,broken clouds,2022-03-13 22:49:23
589,Hampton,US,37.0299,-76.3452,45.14,37,0,17.27,clear sky,2022-03-13 22:47:48
590,Pala,TD,9.3642,14.9046,81.36,16,0,8.52,clear sky,2022-03-13 22:49:24
591,Guaymas,MX,27.9333,-110.9,85.89,30,19,11.59,few clouds,2022-03-13 22:49:24
592,Marzuq,YE,14.4,46.4667,61.72,55,29,5.23,scattered clouds,2022-03-13 22:49:24
593,Mbini,GQ,1.574,9.6134,79.97,80,58,3.91,broken clouds,2022-03-13 22:49:25
594,Athabasca,CA,54.7169,-113.2854,16.21,84,100,9.78,overcast clouds,2022-03-13 22:45:25
595,Margate,GB,51.3813,1.3862,47.3,90,100,1.01,overcast clouds,2022-03-13 22:49:25
596,Road Town,VG,18.4167,-64.6167,78.89,73,40,11.5,scattered clouds,2022-03-13 22:49:25
597,Luena,AO,-11.7833,19.9167,62.4,98,95,5.06,overcast clouds,2022-03-13 22:49:26
598,Susaki,JP,33.3667,133.2833,59.07,90,71,1.74,broken clouds,2022-03-13 22:49:26
599,Cienaga,CO,11.007,-74.2476,89.73,51,75,12.66,broken clouds,2022-03-13 22:49:26
600,Mayo,US,38.8876,-76.5119,43.34,41,20,10.36,few clouds,2022-03-13 22:49:26
601,Port Shepstone,ZA,-30.7414,30.455,73.31,88,81,22.08,light rain,2022-03-13 22:49:27
